1872,17473
5995,981
5763,8721
13922,10929
10745,9933
13830,9197
2022,5255
893,6821
15036,2736
3886,8915
10962,9319
17223,9720
269,14080
7513,7007
3675,4259
8721,13659
7401,15025
13049,11275
357,18400
1800,8328
11176,1516
5021,1605
2867,13938
9995,5240
5091,452
6544,4240
13338,10713
4007,15106
209,17588
17986,13575
10377,13512
4630,8704
15330,15539
17053,2063
2199,4925
2445,11220
11759,5804
834,4026
3881,17995
13868,12533
8062,15288
17015,10210
17347,2510
12927,8458
7428,10841
4158,16475
9813,1670
4296,2778
3448,2306
12220,13645
15258,3135
3119,6947
10719,6488
9523,13416
1382,3410
8244,14109
1898,10235
2344,12753
11801,4695
13390,1890
5678,9131
11073,4455
17777,14715
10897,8482
12084,15118
13401,13642
17804,6559
956,7944
12200,8218
6304,3043
2179,12932
15671,11223
7239,17819
10680,7639
6116,8256
9672,9657
4735,15002
10068,5217
12817,965
11833,15422
16364,9593
17259,8115
595,5643
1246,12774
15732,16262
9390,4268
16415,16164
5070,12221
9001,386
8182,11869
17540,289
1795,10914
1700,16742
4153,9791
18077,9849
15670,3602
15066,15123
11425,6036
14629,10429
