130501,189467
160545,74300
90712,4220
196731,5112
85001,37031
127665,123057
102112,165202
61478,162949
163413,46287
144938,170074
164762,14698
152644,64129
151725,42811
22906,145933
170422,122455
145913,28589
111480,106041
43843,165061
70658,149543
184340,6198
153742,152836
69568,57914
56487,20263
22951,113569
100919,179308
83763,168423
161877,111798
185633,100972
94250,74694
147554,184582
79085,1310
149849,148479
22781,201799
8456,117928
198125,10075
119547,89045
185348,15484
132822,112088
51378,19802
94539,47012
141413,77199
190470,197755
93847,39125
119987,85327
10202,191577
109840,188469
195109,174007
19602,69918
80215,108671
153623,182019
113311,145021
115222,10085
154074,107086
48507,94639
147943,96967
153405,87887
57260,121553
164360,160270
69853,174774
122810,124899
63687,70477
54375,45613
39659,197819
105943,42525
141523,16552
39311,55177
84812,94489
160889,145672
191881,80235
195146,151527
164382,192566
30504,92023
72152,142169
176772,15841
176012,12918
2646,165605
119545,185410
73825,177039
167051,13768
193013,148353
184440,30363
166537,181038
184649,133269
67099,55117
39601,81180
86254,120203
67091,7463
6649,63805
196374,50136
138184,10056
17459,184147
192905,87613
12294,166342
155558,12057
148712,5999
141047,64096
199668,153963
109772,168951
12321,189612
